Book_Name,Author,Rating,Number_of_Reviews,Price,Description,Listening_Time,Audible_Rank,Main_Genre,Genre_List
What Is Life?: With Mind and Matter and Autobiographical Sketches,Erwin Schrödinger,4.5,285.0,586.0,"Nobel laureate Erwin Schrödinger's What is Life? is one of the great science classics of the 20th century. A distinguished physicist's exploration of the question which lies at the heart of biology, it was written for the layman but proved one of the spurs to the birth of molecular biology and the subsequent discovery of the structure of DNA. The philosopher Karl Popper hailed it as a ""beautiful and important book"" by ""a great man to whom I owe a personal debt for many exciting discussions."" ",0 days 06:08:00,3698.0,Physics,"['Physics', 'Religion & Spirituality', 'Religion & Spirituality']"
What Lies Between Us,John Marrs,4.6,816.0,844.0,Nina can never forgive Maggie for what she did. And she can never let her leave.,0 days 11:27:00,3207.0,Domestic Thrillers,"['Domestic Thrillers', 'Psychological Fiction', 'Psychological Thrillers']"
What the Buddha Taught,Walpola Sri Rahula,4.6,473.0,634.0,"Long regarded as one of the best introductions to Buddhism, What the Buddha Taught draws on the actual words spoken by the Buddha to give a lucid and accurate account of the fundamental principles of Buddhist doctrine. Richly supported by extracts from the ancient texts, Walpola Rahula gives clear and direct explanations of Buddhism's essential teachings including: ",0 days 06:20:00,1904.0,Buddhism,"['Buddhism', 'Judaism', 'Buddhism']"
What to Expect When You’re Expecting,Heidi Murkoff,4.6,5190.0,1673.0,"It’s all here. Everything you need to know--and can’t wait to find out—about your amazing nine months, from conception to birth and beyond in the world’s best-selling and best-loved pregnancy guide: Heidi Murkoff’s What to Expect When You’re Expecting. And now, only from Audible, you’ll hear it in the reassuring, relatable voice expectant parents turn to for the must-have advice and information they crave and trust.",1 days 08:43:00,730.0,Pregnancy & Childbirth,"['Pregnancy & Childbirth', 'Parenting Infants & Toddlers', 'Relationships']"
What to Expect the First Year,Heidi Murkoff,4.7,2918.0,1673.0,"Some things about babies, happily, will never change. They still arrive warm, cuddly, soft, and smelling impossibly sweet. But how moms and dads care for their brand new bundles of baby joy has changed—and now, so has the world’s best-selling, best-loved guide to the instructions babies don’t come with…but totally should. In audio, and only on Audible, for the first time ever, What to Expect in the First Year is brought to life by the engaging, comforting narration of author Heidi Murkoff. Accompanied by a full cast of audio talent, Heidi enlivens the empathetic, reality-based advice, practical tips, and reassuring support that makes First Year the definitive, must-have baby bible. Best of all, she’s there for you anywhere, anytime—talking you (and cheering you on) through those long nights and sometimes longer days, through crying jags, gas, and blowout diapers, nap strikes, breastfeeding struggles, stuffy noses, teething, and so much more.  ",1 days 12:47:00,409.0,Parenting Infants & Toddlers,"['Parenting Infants & Toddlers', 'Relationships', 'Family & Relationships']"
"What's Your Problem: To Solve Your Toughest Problems, Change the Problems You Solve",Thomas Wedell-Wedellsborg,4.5,67.0,703.0,Are you solving the right problems?,0 days 05:35:00,1035.0,Business Decision Making & Problem Solving,"['Business Decision Making & Problem Solving', 'Forecasting & Strategic Planning', 'Leadership']"
When Breath Becomes Air,Paul Kalanithi,4.6,11485.0,615.0,"Tackling the agonizing transition from skilled surgeon to bewildered patient, When Breath Becomes Air is an unflinching account of what it means to be betrayed by the body you devoted your life to understanding. ",0 days 05:35:00,123.0,Sociology of Death & Dying,"['Sociology of Death & Dying', 'Grief & Loss', 'Cancer']"
When the Body Says No: The Cost of Hidden Stress,Gabor Maté,4.7,1138.0,1219.0,"In When the Body Says No, physician and writer Gabor Maté explores the mind-body link and the connection between stress and disease. Can a person literally die of loneliness? Is there a relationship between the ability to express emotions and Alzheimer’s disease? Is there such a thing as a “cancer personality?” ",0 days 13:17:00,3546.0,Stress Management,"['Stress Management', 'Alternative & Complementary Medicine', 'Family & Relationships']"
Where Are the Customers' Yachts?: or A Good Hard Look at Wall Street,Fred Schwed Jr.,1.0,1.0,501.0,"Humorous and entertaining, this book exposes the folly and hypocrisy of Wall Street. The title refers to a story about a visitor to New York who admired the yachts of the bankers and brokers. Naively, he asked where all the customers' yachts were? Of course, none of the customers could afford yachts, even though they dutifully followed the advice of their bankers and brokers. Full of wise contrarian advice and offering a true look at the world of investing, in which brokers get rich while their customers go broke, this book continues to open the eyes of investors to the reality of Wall Street.",0 days 04:02:00,4522.0,Personal Finance,"['Personal Finance', 'Personal Development & Self-Help']"
White Fragility: Why It's So Hard for White People to Talk About Racism,Robin DiAngelo,4.5,4804.0,683.0,Penguin presents the audiobook edition of White Fragility by Robin DiAngelo. ,0 days 06:20:00,4290.0,Racism & Discrimination Studies,"['Racism & Discrimination Studies', 'Society & Culture']"
